ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue
1,1991,PhD,Together,148884.56,1,1,2017-03-26,78,0,433,448,210,151,61,786,4,0,0,1,0,0,0,9,11,7,2,46,1800
2,1954,Graduation,Widow,167658.2,1,1,2018-07-12,87,0,143,419,446,400,61,794,2,0,0,0,0,1,0,12,3,1,11,18,3221
3,2000,2n Cycle,Widow,149392.85,2,2,2015-04-11,88,0,288,248,585,364,281,431,4,0,0,1,0,0,0,9,11,14,14,19,4203
4,1960,2n Cycle,Married,32855.81,0,2,2011-09-09,0,0,1409,75,166,64,120,499,4,0,0,0,0,0,0,1,12,14,19,42,3062
5,1963,PhD,Married,151918.44,0,1,2018-05-31,6,0,13,136,459,325,279,760,5,0,0,0,1,0,0,2,7,4,7,6,3478
6,1942,PhD,Widow,154939.94,0,1,2019-12-24,56,0,256,163,915,68,38,146,8,0,0,0,0,0,0,13,2,1,11,17,3612
7,1961,Master,Single,133415.4,0,1,2016-05-06,94,0,1369,232,1052,120,276,480,0,0,0,0,0,0,0,7,4,12,12,46,406
8,1992,Basic,Widow,154392.61,1,0,2013-04-18,11,0,1368,254,713,108,93,434,9,0,0,0,0,0,1,2,10,4,14,45,4441
9,1941,PhD,Widow,169954.68,1,1,2014-10-26,4,0,1423,475,1116,315,114,518,5,0,0,1,0,1,0,0,4,6,10,8,4670
10,1969,PhD,Married,124652.8,2,0,2017-01-09,49,0,1230,293,840,246,175,668,0,0,0,0,0,0,0,8,1,5,16,42,1667
11,1977,Graduation,Married,22277.92,1,2,2018-09-10,41,0,857,416,867,433,120,682,5,0,0,0,0,0,0,7,8,12,11,9,1673
12,1941,2n Cycle,Widow,100087.42,1,2,2018-06-09,11,0,942,169,687,92,12,68,1,0,0,0,0,0,0,14,3,14,19,37,1715
13,2003,Basic,Widow,20141.62,2,1,2017-03-15,17,0,1195,316,329,267,162,605,7,1,0,0,0,0,0,3,8,11,17,27,3249
14,1999,Graduation,Widow,84470.89,2,2,2018-08-28,65,0,463,173,94,102,274,185,2,1,0,0,0,0,0,7,8,4,15,36,4546
15,1960,Master,Married,84385.77,2,2,2010-08-14,73,1,269,469,784,430,175,681,9,0,0,1,1,0,0,13,1,3,2,6,1645
16,1972,Master,Widow,17871.92,1,2,2011-11-01,78,0,1244,344,648,450,172,203,5,0,0,0,0,0,1,4,8,7,8,6,2039
